id,reason,explanation
02-016-0012,luhashenko-report,Too many for Lukashenko. No observers.
02-016-0033,luhashenko-report,Too many for Lukashenko. Late report.
02-016-0044,luhashenko-report,Too many for Lukashenko. Zubr report.
02-065-0004,luhashenko-report,Too many for Lukashenko. Zubr report.
02-067-0002,luhashenko-report,Too many for Lukashenko. Zubr report.
02-069-0005,luhashenko-report,Too many for Lukashenko. Zubr report.
02-074-0006,luhashenko-report,Too many for Lukashenko. Zubr report.
02-074-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
02-073-0003,luhashenko-report,Too many for Lukashenko. Zubr report.
02-075-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
02-077-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
02-143-0009,luhashenko-report,Too many for Lukashenko. Zubr report.
03-091-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
03-091-0005,luhashenko-report,Too many for Lukashenko. Conflict reported.
03-096-0045,luhashenko-report,Too many for Lukashenko. Zubr report.
03-096-0058,luhashenko-report,Too many for Lukashenko. Zubr report.
03-100-0014,luhashenko-report,Too many for Lukashenko. Zubr report. One observer.
04-021-0002,luhashenko-report,Too many for Lukashenko. Zubr report.
04-021-0046,luhashenko-report,Too many for Lukashenko. Zubr report.
04-021-0047,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0076,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0120,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0130,luhashenko-report,Too many for Lukashenko. Zubr reports.
04-022-0092,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0093,luhashenko-report,Too many for Lukashenko. Zubr report (see 0092).
04-022-0094,luhashenko-report,Too many for Lukashenko. Zubr report (see 0092).
04-106-0012,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0011,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0018,luhashenko-report,Too many for Lukashenko. Zubr report. One observer.
04-112-0027,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0006,luhashenko-report,Too many for Lukashenko. Zubr report. One observer.
04-112-0008,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0018,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0033,luhashenko-report,Too many for Lukashenko. Zubr report.
04-112-0035,luhashenko-report,Too many for Lukashenko. Zubr report. One observer.
04-114-0003,luhashenko-report,Too many for Lukashenko. Zubr report.
04-114-0028,luhashenko-report,Too many for Lukashenko. Zubr report.
04-118-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
04-118-0011,luhashenko-report,Too many for Lukashenko. Zubr report.
04-118-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
04-118-0019,luhashenko-report,Too many for Lukashenko. Zubr report.
04-118-0024,luhashenko-report,Too many for Lukashenko. Zubr report.
04-119-0017,luhashenko-report,Too many for Lukashenko. Zubr report.
04-145-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
04-122-0120,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0099,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0098,luhashenko-report,Too many for Lukashenko. Same school as 0099.
04-022-0118,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0074,luhashenko-report,Too many for Lukashenko. Zubr report.
04-022-0075,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0012,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0022,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0029,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0042,luhashenko-report,Too many for Lukashenko. Zubr report.
05-026-0087,luhashenko-report,Too many for Lukashenko. Zubr report.
05-027-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
05-027-0013,luhashenko-report,Too many for Lukashenko. Zubr report.
05-027-0015,luhashenko-report,Too many for Lukashenko. Zubr report.
05-029-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
05-029-0025,luhashenko-report,Too many for Lukashenko. Zubr report.
05-029-0026,luhashenko-report,Too many for Lukashenko. Zubr report.
05-029-0027,luhashenko-report,Too many for Lukashenko. Zubr report.
05-029-0030,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0011,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0022,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0027,luhashenko-report,Too many for Lukashenko. Zubr report.
05-038-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
05-038-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
05-038-0032,luhashenko-report,Too many for Lukashenko. Zubr report.
05-039-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
05-039-0009,luhashenko-report,Too many for Lukashenko. Zubr report.
05-045-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0074,luhashenko-report,Too few for Against. Zubr report.
07-006-0038,luhashenko-report,Too few for Against. Zubr report.
07-008-0080,luhashenko-report,Too few for Against. Zubr report.
07-008-0081,luhashenko-report,Too few for Against. Zubr report.
07-006-0020,luhashenko-report,Too few for Against. Zubr report.
07-006-0033,luhashenko-report,Too few for Against. Zubr report.
07-009-0021,luhashenko-report,Too few for Against. Zubr report.
02-075-0038,luhashenko-report,Too few for Against. Zubr report.
05-141-0001,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0004,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0006,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0009,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0012,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0028,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0032,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0034,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0039,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0063,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0068,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0030,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0031,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0033,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0035,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0036,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0038,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0047,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0060,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0062,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0067,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0071,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0073,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0076,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0082,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0085,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0086,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0088,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0089,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0099,luhashenko-report,Too many for Lukashenko. Zubr report.
05-036-0030,luhashenko-report,Too many for Lukashenko. Zubr report/No observers.
05-036-0035,luhashenko-report,Too many for Lukashenko. Zubr report.
05-039-0050,luhashenko-report,Too many for Lukashenko. Conflict reported.
05-043-0005,luhashenko-report,Too many for Lukashenko. Zubr report.
05-041-0005,luhashenko-report,Too many for Lukashenko. Zubr report.
05-041-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
05-041-0022,luhashenko-report,Too many for Lukashenko. Zubr report.
05-141-0106,luhashenko-report,Too many for Lukashenko. Zubr report.
06-012-0056,luhashenko-report,Too many for Lukashenko. Conflict reported.
06-012-0067,luhashenko-report,Too many for Lukashenko. Zubr report.
06-012-0080,luhashenko-report,Too many for Lukashenko. Zubr report.
06-013-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
06-013-0038,luhashenko-report,Too many for Lukashenko. Zubr report.
06-125-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
06-129-0003,luhashenko-report,Too many for Lukashenko. Zubr report.
06-135-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
07-001-0064,luhashenko-report,Too many for Lukashenko. Zubr report. Conflict.
07-001-0088,luhashenko-report,Too many for Lukashenko. Zubr report. Conflict.
07-006-0005,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0012,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0023,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0035,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0041,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0044,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0048,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0007,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0043,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0059,luhashenko-report,Too many for Lukashenko. Zubr report.
07-009-0017,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0020,luhashenko-report,Too many for Lukashenko. Zubr report.
07-002-0043,luhashenko-report,Too many for Lukashenko. Zubr report.
07-002-0050,luhashenko-report,Too many for Lukashenko. Zubr report.
07-002-0065,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0010,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0011,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0019,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0021,luhashenko-report,Too many for Lukashenko. Zubr report.
07-003-0093,luhashenko-report,Too many for Lukashenko. Zubr report.
07-004-0047,luhashenko-report,Too many for Lukashenko. Zubr report.
07-005-0006,luhashenko-report,Too many for Lukashenko. Zubr report.
07-005-0014,luhashenko-report,Too many for Lukashenko. Zubr report.
07-006-0070,luhashenko-report,Too many for Lukashenko. Zubr report.
07-002-0115,luhashenko-report,Too many for Lukashenko. Zubr report.
01-011-0007,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
01-011-0036,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
01-011-0046,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
01-011-0076,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
01-054-0026,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Zubr report."
02-074-0005,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
02-066-0013,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
04-021-0011,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
04-022-0068,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
05-026-0009,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
05-039-0046,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
06-023-0135,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
07-001-0059,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
07-004-0028,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
07-005-0018,lukashenko-report-and-high-turnout,"High turnout, many for Lukashenko. Minor zubr report."
01-010-0023,lukashenko-no-observers,Too many for Lukashenko. No observers.
01-010-0040,lukashenko-no-observers,Too many for Lukashenko. No observers.
01-056-0043,lukashenko-no-observers,Too many for Lukashenko. No observers.
01-057-0037,lukashenko-no-observers,Too many for Lukashenko. No observers.
01-057-0043,lukashenko-no-observers,Too many for Lukashenko. No observers.
02-067-0015,lukashenko-no-observers,Too many for Lukashenko. No observers.
02-068-0013,lukashenko-no-observers,Too many for Lukashenko. No observers.
02-075-0013,lukashenko-no-observers,Too many for Lukashenko. No observers.
02-074-0023,lukashenko-no-observers,Too many for Lukashenko. No observers. High turnout.
03-085-0009,lukashenko-no-observers,Too many for Lukashenko. No observers. High turnout.
03-091-0036,lukashenko-no-observers,Too many for Lukashenko. No observer.
03-091-0043,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-021-0062,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-110-0001,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-112-0019,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-112-0059,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-118-0002,lukashenko-no-observers,Too many for Lukashenko. No observers.
04-112-0054,lukashenko-no-observers,Too many for Lukashenko. No observers.
05-026-0066,lukashenko-no-observers,Too many for Lukashenko. No observers.
05-026-0082,lukashenko-no-observers,Too few for Against. No observers.
05-027-0005,lukashenko-no-observers,Too many for Lukashenko. No observers.
05-040-0018,lukashenko-no-observers,Too many for Lukashenko. No observers.
05-041-0032,lukashenko-no-observers,Too many for Lukashenko. No observers.
05-045-0010,lukashenko-no-observers,Too many for Lukashenko. No observers.
06-012-0085,lukashenko-no-observers,Too many for Lukashenko. No observers.
06-013-0014,lukashenko-no-observers,Too many for Lukashenko. No observers.
01-049-0008,lukashenko-high-turnout-one-observer,Too many for Lukashenko. One observer.
01-010-0008,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-010-0011,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-010-0022,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-010-0027,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-011-0063,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-011-0066,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-054-0043,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-060-0028,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-014-0005,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-015-0045,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-071-0015,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-075-0051,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-076-0039,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-076-0040,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
02-078-0008,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
03-096-0036,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
03-100-0009,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-021-0022,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0077,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0087,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0105,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0106,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0119,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0123,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-022-0124,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-112-0036,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-112-0065,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-114-0018,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-118-0026,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-118-0027,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-119-0002,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
04-145-0002,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-026-0068,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-027-0009,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-039-0048,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-141-0048,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-141-0102,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
05-044-0002,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-012-0058,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-012-0082,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-012-0083,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-121-0006,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-135-0001,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
06-135-0020,lukashenko-high-turnout-one-observer,Too many for Lukashenko. High turnout. One observer.
01-060-0010,lukashenko-one-observer,Too many for Lukashenko. Too many outliers. One observer.
02-016-0040,lukashenko-one-observer,Too many for Lukashenko and Against. One observer.
02-067-0005,lukashenko-one-observer,Too many for Lukashenko. One observer.
02-076-0020,lukashenko-one-observer,Too many for Lukashenko. One observer.
02-077-0006,lukashenko-one-observer,Too many for Lukashenko. One observer.
03-019-0019,lukashenko-one-observer,Too many for Lukashenko. One observer.
03-087-0009,lukashenko-one-observer,Too many for Lukashenko. One observer.
03-091-0009,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-112-0010,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-112-0024,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-112-0028,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-114-0001,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-118-0027,lukashenko-one-observer,Too many for Lukashenko. One observer.
04-145-0023,lukashenko-one-observer,Too many for Lukashenko. One observer.
05-036-0076,lukashenko-one-observer,Too many for Lukashenko. One observer.
05-041-0025,lukashenko-one-observer,Too many for corrupted. One observer.
07-001-0061,lukashenko-one-observer,Too many for Lukashenko. One observer.
01-010-0004,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-010-0012,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-010-0017,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-011-0066,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-011-0079,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-011-0088,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-049-0006,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-054-0005,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-054-0009,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
01-056-0017,lukashenko-high-turnout,"High turnout, many for Lukashenko. Two observers. No zubr report."
02-015-0001,lukashenko-high-turnout,"High turnout, many for Lukashenko. Two observers. No zubr report."
02-015-0026,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
02-016-0056,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
02-016-0071,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
02-075-0002,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
02-076-0008,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
03-096-0031,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
03-096-0043,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-021-0008,lukashenko-high-turnout,"High turnout, many for Lukashenko. Three observers. No zubr report."
04-021-0023,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-021-0044,lukashenko-high-turnout,"High turnout, many for Lukashenko. Two observers. No zubr report."
04-022-0082,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-022-0095,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-022-0097,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-022-0110,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-022-0122,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-022-0134,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
04-112-0023,lukashenko-high-turnout,"High turnout, many for Lukashenko. No zubr report."
